Time (s),Frequency (Hz),Cents Error vs E3
0.0,400.0,0.001
0.01,400.0,0.001
0.02,400.0,0.001
0.03,400.0,0.001
0.04,400.0,0.001
0.05,400.0,0.001
0.06,400.0,0.001
0.07,400.0,0.001
0.08,400.0,0.001
0.09,400.0,0.001
0.1,400.0,0.001
0.11,400.0,0.001
0.12,400.0,0.001
0.13,400.0,0.001
0.14,400.0,0.001
0.15,400.0,0.001
0.16,400.0,0.001
0.17,400.0,0.001
0.18,400.0,0.001
0.19,400.0,0.001
0.2,400.0,0.001
0.21,400.0,0.001
0.22,400.0,0.001
0.23,400.0,0.001
0.24,400.0,0.001
0.25,400.0,0.001
0.26,400.0,0.001
0.27,400.0,0.001
0.28,400.0,0.001
0.29,400.0,0.001
0.3,400.0,0.001
0.31,400.0,0.001
0.32,400.0,0.001
0.33,400.0,0.001
0.34,400.0,0.001
0.35,400.0,0.001
0.36,400.0,0.001
0.37,400.0,0.001
0.38,400.0,0.001
0.39,400.0,0.001
0.4,400.0,0.001
0.41,400.0,0.001
0.42,400.0,0.001
0.43,400.0,0.001
0.44,400.0,0.001
0.45,400.0,0.001
0.46,400.0,0.001
0.47,400.0,0.001
0.48,400.0,0.001
0.49,400.0,0.001
0.5,400.0,0.001
0.51,400.0,0.001
0.52,400.0,0.001
0.53,400.0,0.001
0.54,400.0,0.001
0.55,400.0,0.001
0.56,400.0,0.001
0.57,400.0,0.001
0.58,400.0,0.001
0.59,400.0,0.001
0.6,400.0,0.001
0.61,400.0,0.001
0.62,400.0,0.001
0.63,400.0,0.001
0.64,400.0,0.001
0.65,400.0,0.001
0.66,400.0,0.001
0.67,400.0,0.001
0.68,400.0,0.001
0.69,400.0,0.001
0.7,400.0,0.001
0.71,400.0,0.001
0.72,400.0,0.001
0.73,400.0,0.001
0.74,400.0,0.001
0.75,400.0,0.001
0.76,400.0,0.001
0.77,400.0,0.001
0.78,400.0,0.001
0.79,400.0,0.001
0.8,400.0,0.001
0.81,400.0,0.001
0.82,400.0,0.001
0.83,400.0,0.001
0.84,400.0,0.001
0.85,400.0,0.001
0.86,400.0,0.001
0.87,400.0,0.001
0.88,400.0,0.001
0.89,400.0,0.001
0.9,400.0,0.001
0.91,400.0,0.001
0.92,400.0,0.001
0.93,400.0,0.001
0.94,400.0,0.001
0.95,400.0,0.001
0.96,400.0,0.001
0.97,400.0,0.001
0.98,400.0,0.001
0.99,400.0,0.001
1.0,400.0,0.001
1.01,400.0,0.001
1.02,400.0,0.001
1.03,400.0,0.001
1.04,400.0,0.001
1.05,400.0,0.001
1.06,400.0,0.001
1.07,400.0,0.001
1.08,400.0,0.001
1.09,400.0,0.001
1.1,400.0,0.001
1.11,400.0,0.001
1.12,400.0,0.001
1.13,400.0,0.001
1.14,400.0,0.001
1.15,400.0,0.001
1.16,400.0,0.001
1.17,400.0,0.001
1.18,400.0,0.001
1.19,400.0,0.001
1.2,400.0,0.001
1.21,400.0,0.001
1.22,400.0,0.001
1.23,400.0,0.001
1.24,400.0,0.001
1.25,400.0,0.001
1.26,400.0,0.001
1.27,400.0,0.001
1.28,400.0,0.001
1.29,400.0,0.001
1.3,400.0,0.001
1.31,400.0,0.001
1.32,400.0,0.001
1.33,400.0,0.001
1.34,400.0,0.001
1.35,400.0,0.001
1.36,400.0,0.001
1.37,400.0,0.001
1.38,400.0,0.001
1.39,400.0,0.001
1.4,400.0,0.001
1.41,400.0,0.001
1.42,400.0,0.001
1.43,400.0,0.001
1.44,400.0,0.001
1.45,400.0,0.001
1.46,400.0,0.001
1.47,400.0,0.001
1.48,400.0,0.001
1.49,400.0,0.001
1.5,400.0,0.001
1.51,400.0,0.001
1.52,400.0,0.001
1.53,400.0,0.001
1.54,400.0,0.001
1.55,400.0,0.001
1.56,400.0,0.001
1.57,400.0,0.001
1.58,400.0,0.001
1.59,400.0,0.001
1.6,400.0,0.001
1.61,400.0,0.001
1.62,400.0,0.001
1.63,400.0,0.001
1.64,400.0,0.001
1.65,400.0,0.001
1.66,400.0,0.001
1.67,400.0,0.001
1.68,400.0,0.001
1.69,400.0,0.001
1.7,400.0,0.001
1.71,400.0,0.001
1.72,400.0,0.001
1.73,400.0,0.001
1.74,400.0,0.001
1.75,400.0,0.001
1.76,400.0,0.001
1.77,400.0,0.001
1.78,400.0,0.001
1.79,400.0,0.001
1.8,400.0,0.001
1.81,400.0,0.001
1.82,400.0,0.001
1.83,400.0,0.001
1.84,400.0,0.001
1.85,400.0,0.001
1.86,400.0,0.001
1.87,400.0,0.001
1.88,400.0,0.001
1.89,400.0,0.001
1.9,400.0,0.001
1.91,400.0,0.001
1.92,400.0,0.001
1.93,400.0,0.001
1.94,400.0,0.001
1.95,400.0,0.001
1.96,400.0,0.001
1.97,400.0,0.001
1.98,400.0,0.001
1.99,400.0,0.001
2.0,400.0,0.001
2.01,400.0,0.001
2.02,400.0,0.001
2.03,400.0,0.001
2.04,400.0,0.001
2.05,400.0,0.001
2.06,400.0,0.001
2.07,400.0,0.001
2.08,400.0,0.001
2.09,400.0,0.001
2.1,400.0,0.001
2.11,400.0,0.001
2.12,400.0,0.001
2.13,400.0,0.001
2.14,400.0,0.001
2.15,400.0,0.001
2.16,400.0,0.001
2.17,400.0,0.001
2.18,400.0,0.001
2.19,400.0,0.001
2.2,400.0,0.001
2.21,400.0,0.001
2.22,400.0,0.001
2.23,400.0,0.001
2.24,400.0,0.001
2.25,400.0,0.001
2.26,400.0,0.001
2.27,400.0,0.001
2.28,400.0,0.001
2.29,400.0,0.001
2.3,400.0,0.001
2.31,400.0,0.001
2.32,400.0,0.001
2.33,400.0,0.001
2.34,400.0,0.001
