Sampling Frequency,True Frequency,Frequency Calculated,Cents Error
48000,50,50.12744810570365,4.407235446764447
48000,100,100.2550560874605,4.409996236079396
48000,150,150.38295101015203,4.414219814085778
48000,200,200.51074053724494,4.415421601084823
48000,250,250.63833026525973,4.4147626013327095
48000,300,300.76760205354174,4.4240053219773285
48000,350,350.9008734197547,4.450340001462977
48000,400,401.02888568909077,4.447387476168944
48000,450,451.15670038400384,4.444332907385279
48000,500,501.29476580493787,4.477290749893158
48000,550,551.4332960855729,4.505715226143872
48000,600,601.5663712533632,4.513702860354408
48000,650,651.701156881122,4.5250054154070805
48000,700,701.8208649486708,4.4975007144038335
48000,750,751.986973546203,4.580490144123515
48000,800,802.1312522847245,4.605988047019278
48000,850,852.2500201029894,4.576664574443301
48000,900,902.4426684947534,4.692336162984913
48000,950,952.5363043868655,4.6158794493550355
