Time (s),Frequency (Hz),Cents Error vs E1
0.0,82.367,1199.2993
0.01,82.636,1204.9439
0.02,82.721,1206.7304
0.03,82.995,1212.4636
0.04,83.106,1214.7598
0.05,83.319,1219.2054
0.06,83.235,1217.4455
0.07,83.368,1220.2235
0.08,83.066,1213.9402
0.09,82.983,1212.2079
0.1,82.77,1207.7571
0.11,82.899,1210.4483
0.12,82.731,1206.949
0.13,82.819,1208.789
0.14,82.73,1206.9162
0.15,82.65,1205.2413
0.16,82.629,1204.8037
0.17,82.642,1205.0744
0.18,82.663,1205.5116
0.19,82.448,1201.0042
0.2,82.595,1204.0956
0.21,82.337,1198.6788
0.22,82.402,1200.0431
0.23,82.361,1199.1719
0.24,82.421,1200.4316
0.25,82.307,1198.0362
0.26,82.477,1201.6223
0.27,82.292,1197.7376
0.28,82.371,1199.3821
0.29,82.395,1199.9037
0.3,82.439,1200.8246
0.31,82.47,1201.4635
0.32,82.511,1202.3376
0.33,82.385,1199.6876
0.34,82.355,1199.0608
0.35,82.416,1200.3394
0.36,82.376,1199.5022
0.37,82.554,1203.2295
0.38,82.403,1200.0622
0.39,82.49,1201.8934
0.4,82.383,1199.6432
0.41,82.439,1200.8258
0.42,82.387,1199.7319
0.43,82.51,1202.2992
0.44,82.413,1200.2704
0.45,82.557,1203.2938
0.46,82.463,1201.3232
0.47,82.535,1202.8264
0.48,82.47,1201.4723
0.49,82.524,1202.6136
0.5,82.523,1202.5823
0.51,82.529,1202.7013
0.52,82.519,1202.504
0.53,82.525,1202.6222
0.54,82.565,1203.4702
0.55,82.566,1203.4827
0.56,82.656,1205.3717
0.57,82.503,1202.1633
0.58,82.554,1203.2237
0.59,82.515,1202.418
0.6,82.52,1202.5194
0.61,82.542,1202.9827
0.62,82.605,1204.2926
0.63,82.51,1202.2997
0.64,82.62,1204.6188
0.65,82.543,1202.9939
0.66,82.548,1203.1004
0.67,82.563,1203.4128
0.68,82.576,1203.6985
0.69,82.551,1203.1696
0.7,82.637,1204.9787
0.71,82.58,1203.7755
0.72,82.587,1203.9261
0.73,82.622,1204.6616
0.74,82.573,1203.6316
0.75,82.576,1203.7022
0.76,82.594,1204.0782
0.77,82.576,1203.6859
0.78,82.585,1203.8781
0.79,82.595,1204.0951
0.8,82.626,1204.7441
0.81,82.601,1204.2231
0.82,82.587,1203.9237
0.83,82.596,1204.1233
0.84,82.596,1204.1094
0.85,82.589,1203.9703
0.86,82.641,1205.0488
0.87,82.614,1204.4871
0.88,82.655,1205.3499
0.89,82.637,1204.9773
0.9,82.639,1205.006
0.91,82.615,1204.5213
0.92,82.629,1204.8009
0.93,82.625,1204.7245
0.94,82.633,1204.8796
0.95,82.647,1205.1721
0.96,82.637,1204.9644
0.97,82.649,1205.2231
0.98,82.602,1204.2379
0.99,82.62,1204.6075
1.0,82.616,1204.5274
1.01,82.597,1204.1317
1.02,82.601,1204.2139
1.03,82.69,1206.0767
1.04,82.598,1204.1494
1.05,82.682,1205.9231
1.06,82.628,1204.7888
1.07,82.635,1204.94
1.08,82.602,1204.2377
1.09,82.656,1205.3732
1.1,82.607,1204.3418
