Sampling Frequency,True Frequency,Num Periods,Frequency Calculated,Cents Error
48000,50,1,50.10437292966353,3.610112721825947
48000,50,2,50.00636800249063,0.2204760151063132
48000,50,3,50.00134524958964,0.04657821129099348
48000,50,4,50.00048939266235,0.016944981881132967
48000,50,5,50.00024637558511,0.008530655018631214
48000,50,6,50.00012653671393,0.004381287808287947
48000,50,7,50.00006179177074,0.0021395190272575845
48000,50,8,50.00005018543629,0.001737653849208607
48000,50,9,50.000041478423526,0.0014361765866037703
48000,50,10,50.00001852624367,0.0006414651581030463
48000,100,1,100.31340775514596,5.417337019686692
48000,100,2,100.01274958250147,0.22071104381014472
48000,100,3,100.00269946882419,0.04673349265304664
48000,100,4,100.00098549600924,0.017061158395822153
48000,100,5,100.00034406255965,0.00595651793556071
48000,100,6,100.00025754036291,0.004458620711284495
48000,100,7,100.00019981897465,0.0034593306695334543
48000,100,8,100.00015856984089,0.002745212900713092
48000,100,9,100.00004530724306,0.0007843742406198908
48000,100,10,100.00003928422649,0.0006801017713906009
48000,150,1,150.47012847726995,5.4175308246773435
48000,150,2,150.0191583177745,0.22110276080419644
48000,150,3,150.00496255710615,0.05727470479258293
48000,150,4,150.0014950208536,0.01725478738486966
48000,150,5,150.001009759018,0.01165415539584414
48000,150,6,150.00024750127153,0.0028565484998997995
48000,150,7,150.00019877062843,0.0022941216791940045
48000,150,8,150.00016395062414,0.0018922449851046335
48000,150,9,150.0001378288352,0.0015907590851846779
48000,150,10,150.0001175078656,0.0013562235885626185
48000,200,1,200.83653192944448,7.22606123237216
48000,200,2,200.02560778645557,0.2216511694786501
48000,200,3,200.00547069572102,0.047354625867565246
48000,200,4,200.0031833024214,0.027554988412902676
48000,200,5,200.00072386843962,0.006265917109451944
48000,200,6,200.00055081659985,0.004767955696522403
48000,200,7,200.0004353688517,0.003768622797816645
48000,200,8,200.00035286703095,0.0030544743995076992
48000,200,9,200.00029096924297,0.002518677471129771
48000,200,10,200.00024281381872,0.0021018364766656437
48000,250,1,251.30819529950674,9.035549019678989
48000,250,2,250.02316117174706,0.16038220741414325
48000,250,3,250.00997133933694,0.069049511676601
48000,250,4,250.00190579968586,0.013197490923836097
48000,250,5,250.0013436198245,0.009304456553503152
48000,250,6,250.00100584548855,0.006965401819398858
48000,250,7,250.0007804679216,0.005404682124120948
48000,250,8,250.0006193884869,0.004289220439022031
48000,250,9,250.0004985266675,0.0034522619225066035
48000,250,10,249.99999999999991,-5.766167706866853e-13
48000,300,1,301.8853264020495,10.845760123034667
48000,300,2,300.03868324003156,0.22321808321415193
48000,300,3,300.00510645901556,0.02946800159853158
48000,300,4,300.0031712358419,0.018300408165476983
48000,300,5,300.0022006181304,0.01269923687750966
48000,300,6,300.0016172819557,0.009332953472101774
48000,300,7,300.00122798802676,0.007086434442324009
48000,300,8,300.0009497232115,0.005480635194503948
48000,300,9,300.0,0.0
48000,300,10,299.9999999999999,-5.766167706866853e-13
48000,350,1,352.94117647058823,14.487398760689965
48000,350,2,350.0734316031515,0.3631827359268205
48000,350,3,350.0155810393637,0.07706807277274191
48000,350,4,350.0044007749255,0.021767781416529377
48000,350,5,350.0029575967377,0.014629344405558853
48000,350,6,349.99967898982266,-0.0015878400113811756
48000,350,7,350.0001218556858,0.0006027447873211545
48000,350,8,350.00054661003145,0.002703740454402394
48000,350,9,350.0009599782765,0.004748413712752182
48000,350,10,350.0013656830512,0.006755178244812459
48000,400,1,403.3613445378151,14.487398760689965
48000,400,2,400.08540565142926,0.3696034729647691
48000,400,3,400.01151548181537,0.049839268125007656
48000,400,4,400.00693990895047,0.030036256120724966
48000,400,5,400.00464266261304,0.020093722374728538
48000,400,6,400.0032612726085,0.014115007916782791
48000,400,7,400.0,0.0
48000,400,8,400.0,0.0
48000,400,9,399.9999999999999,-5.766167706866853e-13
48000,400,10,400.0,0.0
48000,450,1,453.25309267490456,12.470234975691367
